date,home_team,away_team,home_score,away_score,round
2024-04-13,285,265,2,1,1
2024-04-13,288,286,1,1,1
2024-04-13,266,280,2,2,1
2024-04-13,276,356,1,2,1
2024-04-14,267,284,2,1,1
2024-04-14,264,282,0,0,1
2024-04-14,293,1371,4,0,1
2024-04-14,373,262,1,2,1
2024-04-14,283,263,3,2,1
2024-04-14,287,275,0,1,1
2024-04-16,265,266,2,1,2
2024-04-17,284,293,2,0,2
2024-04-17,280,267,2,1,2
2024-04-17,282,288,1,1,2
2024-04-17,275,285,0,1,2
2024-04-17,356,283,1,1,2
2024-04-17,286,264,2,0,2
2024-04-17,262,276,2,1,2
2024-04-18,263,373,1,0,2
2024-06-05,1371,287,0,0,2
2024-04-20,266,267,2,1,3
2024-04-20,284,1371,1,0,3
2024-04-20,280,264,1,0,3
2024-04-20,282,283,3,0,3
2024-04-21,287,265,2,2,3
2024-04-21,275,262,0,0,3
2024-04-21,293,285,1,0,3
2024-04-21,263,286,5,1,3
2024-04-21,373,276,0,3,3
2024-07-24,288,356,1,1,3
2024-04-27,267,288,0,4,4
2024-04-27,1371,282,0,3,4
2024-04-27,265,284,1,0,4
2024-04-28,262,263,0,2,4
2024-04-28,283,287,3,1,4
2024-04-28,264,266,3,0,4
2024-04-28,356,280,1,1,4
2024-04-28,286,293,1,1,4
2024-04-28,285,373,1,1,4
2024-04-29,276,275,0,0,4
2024-05-04,266,282,2,2,5
2024-05-04,280,262,1,1,5
2024-05-04,264,356,0,0,5
2024-05-05,287,276,1,3,5
2024-05-05,293,267,1,0,5
2024-05-05,263,265,1,2,5
2024-05-05,1371,275,0,2,5
2024-06-05,286,373,1,0,5
2024-08-28,283,285,0,0,5
2024-09-25,284,288,1,2,5
2024-05-11,262,264,2,0,6
2024-05-12,275,293,0,2,6
2024-05-12,356,263,1,1,6
2024-05-12,373,283,0,1,6
2024-05-12,265,280,1,0,6
2024-05-12,267,287,2,1,6
2024-05-13,276,266,2,1,6
2024-06-09,288,1371,2,5,6
2024-08-14,285,286,2,1,6
2024-10-09,282,284,2,1,6
2024-06-01,284,280,0,2,7
2024-06-01,287,373,0,2,7
2024-06-01,266,286,1,1,7
2024-06-01,1371,285,0,1,7
2024-06-01,264,263,0,1,7
2024-06-02,282,265,1,1,7
2024-06-02,267,262,1,6,7
